museumLabel,inceptionYear,countryLabel,visitors,area,socialFollowers
Музей театра Ла Скала,1913,Италия,260478,600,309856
Музей театра Ла Скала,1913,Италия,260478,850,309856
Версаль,1661,Франция,6746198,67000,100000
Версаль,1661,Франция,6746198,67000,497943
Версаль,1661,Франция,2593260,67000,100000
Версаль,1661,Франция,2593260,67000,497943
Уффици,1560,Италия,969978,47515,72342
Музей Соломона Гуггенхайма,1937,США,1100000,6,53000
Музей театра Ла Скала,1913,Италия,272254,600,309856
Музей театра Ла Скала,1913,Италия,272254,850,309856
Музей Соломона Гуггенхайма,1937,США,1100000,6,3387252
Версаль,1661,Франция,5606127,67000,100000
Версаль,1661,Франция,5606127,67000,497943
Версаль,1661,Франция,4741758,67000,100000
Версаль,1661,Франция,4741758,67000,497943
Прадо,1819,Испания,1175296,41995,213000
Прадо,1819,Испания,1175296,41995,1313537
Музей театра Ла Скала,1913,Италия,236400,600,309856
Музей театра Ла Скала,1913,Италия,236400,850,309856
Тейт Модерн,1992,Великобритания,1156037,35000,4704971
Версаль,1661,Франция,4329611,67000,100000
Версаль,1661,Франция,4329611,67000,497943
Музей театра Ла Скала,1913,Италия,36107,600,309856
Музей театра Ла Скала,1913,Италия,36107,850,309856
Версаль,1661,Франция,6087556,67000,100000
Версаль,1661,Франция,6087556,67000,497943
Версаль,1661,Франция,4226879,67000,100000
Версаль,1661,Франция,4226879,67000,497943
Лувр,1793,Франция,2825000,210000,126000
Замок Риволи,1984,Италия,,1.54,
Замок Риволи,1984,Италия,,486.76,
Лувр,1793,Франция,2825000,210000,1579945
Музей театра Ла Скала,1913,Италия,61364,600,309856
Музей театра Ла Скала,1913,Италия,61364,850,309856
Версаль,1661,Франция,8132518,67000,100000
Версаль,1661,Франция,8132518,67000,497943
Версаль,1661,Франция,7702135,67000,100000
Версаль,1661,Франция,7702135,67000,497943
Дворец дожей,1340,Италия,435879,10281,
Дворец дожей,1340,Италия,435879,12578,
Версаль,1661,Франция,6701193,67000,100000
Версаль,1661,Франция,6701193,67000,497943
Версаль,1661,Франция,7567008,67000,100000
Версаль,1661,Франция,7567008,67000,497943
Версаль,1661,Франция,7714389,67000,100000
Версаль,1661,Франция,7714389,67000,497943
Версаль,1661,Франция,7432801,67000,100000
Версаль,1661,Франция,7432801,67000,497943
Пинакотека Брера,1776,Италия,146370,4174,
Пинакотека Брера,1776,Италия,146370,523087,
Пинакотека Брера,1776,Италия,111727,4174,
Пинакотека Брера,1776,Италия,111727,523087,
Пинакотека Брера,1776,Италия,386415,4174,
Пинакотека Брера,1776,Италия,397082,4174,
Пинакотека Брера,1776,Италия,386415,523087,
Пинакотека Брера,1776,Италия,397082,523087,
Пинакотека Брера,1776,Италия,417976,4174,
Пинакотека Брера,1776,Италия,417976,523087,
MdAO - Art Museum,1995,Италия,,130,
Certosa di San Giacomo,1371,Италия,8547,600,
Certosa di San Giacomo,1371,Италия,8547,700,
Certosa di San Giacomo,1371,Италия,13054,600,
Certosa di San Giacomo,1371,Италия,13054,700,
Certosa di San Giacomo,1371,Италия,21693,600,
Certosa di San Giacomo,1371,Италия,21693,700,
Certosa di San Giacomo,1371,Италия,24233,600,
Certosa di San Giacomo,1371,Италия,24233,700,
Certosa di San Giacomo,1371,Италия,26347,600,
Certosa di San Giacomo,1371,Италия,26347,700,
Капитолийские музеи,1471,Италия,516420,14027,
Капитолийские музеи,1471,Италия,516420,14156,
Капитолийские музеи,1471,Италия,140311,14027,
Капитолийские музеи,1471,Италия,140311,14156,
Капитолийские музеи,1471,Италия,191739,14027,
Капитолийские музеи,1471,Италия,191739,14156,
Королевский дворец в Казерте,1752,Италия,296577,44000,
Королевский дворец в Казерте,1752,Италия,350776,44000,
Капитолийские музеи,1471,Италия,411217,14027,
Капитолийские музеи,1471,Италия,411217,14156,
Капитолийские музеи,1471,Италия,445106,14027,
Капитолийские музеи,1471,Италия,445106,14156,
Капитолийские музеи,1471,Италия,450095,14027,
Капитолийские музеи,1471,Италия,450095,14156,
Капитолийские музеи,1471,Италия,452232,14027,
Капитолийские музеи,1471,Италия,452232,14156,
Giorgio De Chirico House,1998,Италия,100,170,
Giorgio De Chirico House,1998,Италия,100,350,
Giorgio De Chirico House,1998,Италия,2000,170,
Giorgio De Chirico House,1998,Италия,2000,350,
Giorgio De Chirico House,1998,Италия,1400,170,
Giorgio De Chirico House,1998,Италия,1400,350,
Giorgio De Chirico House,1998,Италия,1800,170,
Giorgio De Chirico House,1998,Италия,1800,350,
Королевский дворец в Казерте,1752,Италия,760807,44000,
Королевский дворец в Казерте,1752,Италия,1028292,44000,
Национальные музей и галерея Каподимонте,1757,Италия,76240,15000,
